
  Tool                                              Description
  klaviyo_tag_resources                             Assign a tag to one or more resources (campaigns, flows, lists, or segments).
  klaviyo_untag_resources                           Remove a tag from one or more resources (campaigns, flows, lists, or segments).
  klaviyo_get_bulk_import_job                       Get the status of a bulk profile import job.
  klaviyo_get_campaigns                             List Klaviyo campaigns. Klaviyo API requires a channel filter.
  klaviyo_create_campaign                           Create a new email campaign in Draft status.
  klaviyo_get_flows                                 List Klaviyo flows (automated email/SMS sequences).
  klaviyo_update_flow_status                        Update a Klaviyo flow's status (e.g. activate or pause).
  klaviyo_get_templates                             List Klaviyo email templates.
  klaviyo_create_template                           Create a new email template with custom HTML.
  klaviyo_get_universal_content                     List universal content blocks in Klaviyo Composer.
  klaviyo_get_campaign                              Retrieve a single Klaviyo campaign by ID.
  klaviyo_update_campaign                           Update a Klaviyo campaign.
  klaviyo_delete_campaign                           Delete a Klaviyo campaign.
  klaviyo_clone_campaign                            Clone (duplicate) a Klaviyo campaign.
  klaviyo_send_campaign                             Send a Klaviyo campaign immediately.
  klaviyo_schedule_campaign                         Schedule an existing Draft campaign to be sent at a future time.
  klaviyo_get_template                              Retrieve a single Klaviyo email template by ID.
  klaviyo_update_template                           Update a Klaviyo email template.
  klaviyo_delete_template                           Delete a Klaviyo email template.
  klaviyo_render_template                           Render a Klaviyo template with optional context variables.
  klaviyo_clone_template                            Clone (duplicate) a Klaviyo email template.
  klaviyo_get_flow                                  Retrieve a single Klaviyo flow by ID.
  klaviyo_delete_flow                               Delete a Klaviyo flow.
  klaviyo_get_flow_actions                          List all actions belonging to a Klaviyo flow.
  klaviyo_get_flow_action                           Retrieve a single Klaviyo flow action by ID.
  klaviyo_get_flow_messages_for_action              List flow messages attached to a specific flow action.
  klaviyo_get_flow_message                          Retrieve a single Klaviyo flow message by ID.
  klaviyo_update_flow_action                        Update a Klaviyo flow action's ``definition`` (PATCH /api/flow-actions/{id}/).
  klaviyo_get_flow_message_template                 Retrieve the template assigned to a flow message.
  klaviyo_get_flow_tags                             Retrieve all tags attached to a Klaviyo flow.
  klaviyo_get_campaign_message                      Retrieve a single Klaviyo campaign message by ID.
  klaviyo_update_campaign_message                   Update a Klaviyo campaign message (label or full ``definition``).
  klaviyo_assign_template_to_campaign_message       Assign an email template to a campaign message.
  klaviyo_cancel_campaign_send                      Cancel or revert a scheduled / sending campaign send job.
  klaviyo_get_catalog_items                         List catalog items in Klaviyo.
  klaviyo_create_catalog_item                       Create a catalog item in Klaviyo.
  klaviyo_get_coupons                               List all Klaviyo coupons.
  klaviyo_create_coupon                             Create a new coupon definition in Klaviyo.
  klaviyo_get_coupon_codes                          List coupon codes for a specific coupon.
  klaviyo_create_coupon_code                        Create a unique coupon code under an existing coupon.
  klaviyo_get_catalog_item                          Retrieve a single catalog item by ID.
  klaviyo_update_catalog_item                       Update a catalog item in Klaviyo.
  klaviyo_delete_catalog_item                       Delete a catalog item from Klaviyo.
  klaviyo_get_coupon                                Retrieve a single coupon by ID.
  klaviyo_update_coupon                             Update a coupon in Klaviyo.
  klaviyo_delete_coupon                             Delete a coupon from Klaviyo.
  klaviyo_get_coupon_code                           Retrieve a single coupon code by ID.
  klaviyo_update_coupon_code                        Update a coupon code in Klaviyo.
  klaviyo_delete_coupon_code                        Delete a coupon code from Klaviyo.
  klaviyo_get_catalog_variants                      List catalog variants in Klaviyo.
  klaviyo_create_catalog_variant                    Create a catalog variant in Klaviyo.
  klaviyo_update_catalog_variant                    Update a catalog variant in Klaviyo.
  klaviyo_delete_catalog_variant                    Delete a catalog variant from Klaviyo.
  klaviyo_get_catalog_categories                    List catalog categories in Klaviyo.
  klaviyo_create_catalog_category                   Create a catalog category in Klaviyo.
  klaviyo_update_catalog_category                   Update a catalog category in Klaviyo.
  klaviyo_delete_catalog_category                   Delete a catalog category from Klaviyo.
  klaviyo_get_events                                List Klaviyo events (tracked user activities).
  klaviyo_create_event                              Track a custom event in Klaviyo.
  klaviyo_get_metrics                               List all Klaviyo metrics (event types tracked in the account).
  klaviyo_get_reviews                               List product reviews in Klaviyo.
  klaviyo_get_web_feeds                             List web feeds configured in Klaviyo.
  klaviyo_create_web_feed                           Create a new web feed in Klaviyo.
  klaviyo_get_event                                 Retrieve a single Klaviyo event by ID.
  klaviyo_get_review                                Retrieve a single product review by ID.
  klaviyo_update_review                             Update a product review status in Klaviyo.
  klaviyo_get_web_feed                              Retrieve a single web feed by ID.
  klaviyo_update_web_feed                           Update a web feed in Klaviyo.
  klaviyo_delete_web_feed                           Delete a web feed from Klaviyo.
  klaviyo_bulk_create_events                        Bulk create events in Klaviyo.
  klaviyo_query_metric_aggregates                   Query aggregated metric data from Klaviyo.
  klaviyo_request_profile_deletion                  Submit a GDPR / CCPA data deletion request for a profile.
  klaviyo_get_forms                                 List all Klaviyo forms (sign-up forms, pop-ups, etc.).
  klaviyo_get_images                                List images stored in the Klaviyo image library.
  klaviyo_upload_image_from_url                     Import an image into Klaviyo's image library from a public URL.
  klaviyo_get_translations                          List translation entries in Klaviyo.
  klaviyo_get_form                                  Retrieve a single Klaviyo form by ID.
  klaviyo_get_image                                 Retrieve a single image from the Klaviyo image library.
  klaviyo_update_image                              Update an image's metadata in Klaviyo.
  klaviyo_get_form_versions                         List all versions (drafts/published) of a Klaviyo form.
  klaviyo_get_form_version                          Retrieve a single Klaviyo form version by ID.
  klaviyo_query_campaign_values                     Query campaign performance values (aggregated metrics).
  klaviyo_query_flow_values                         Query flow performance values (aggregated metrics).
  klaviyo_query_flow_series                         Query flow performance as a time series.
  klaviyo_query_campaign_series                     Query campaign performance metrics over a given timeframe.
  klaviyo_query_flow_sub_values                     Query flow per-message aggregated performance values.
  klaviyo_query_form_values                         Query Klaviyo form (signup form / popup) aggregated performance values.
  klaviyo_query_form_series                         Query Klaviyo form performance as a time series.
  klaviyo_query_segment_values                      Query Klaviyo segment aggregated performance values.
  klaviyo_query_segment_series                      Query Klaviyo segment performance as a time series.
  klaviyo_get_data_sources                          List all data sources (custom object definitions) in Klaviyo.
  klaviyo_create_data_source                        Create a new data source in Klaviyo.
  klaviyo_get_custom_object_definitions             List all custom object definitions (object types) in the Klaviyo account.
  klaviyo_get_custom_object_definition              Retrieve a single custom object definition by ID.
  klaviyo_get_custom_object_record                  Retrieve a single custom object record by its compound ID.
  klaviyo_create_custom_object_record               Ingest a data source record so Klaviyo can derive a custom object record.
  set_shippo_credentials                            Set or update Shippo API credentials.
  check_shippo_credentials                          Check the status of Shippo API credentials.
  delete_shippo_credentials                         Delete Shippo API credentials for the current account.
  validate_shippo_address                           Validate whether an address is real and deliverable (地址验证).
  get_shippo_carrier_accounts                       Get a single carrier account by ID, or list carrier accounts with optional filte
  create_shippo_customs_item                        Create a customs item for international shipping declarations.
  get_shippo_customs_items                          Get a single customs item by ID or list all customs items.
  create_shippo_customs_declaration                 Create a customs declaration for international shipments (海关申报 / customs form).
  get_shippo_customs_declarations                   Get a single customs declaration by ID or list all declarations.
  create_shippo_shipment                            Create a shipment and get available shipping rates from multiple carriers.
  get_shippo_shipments                              Retrieve shipment records — the shipping requests you created (with sender/recip
  get_shippo_rates                                  Retrieve rate quotes for an existing shipment. Rates are generated when you crea
  purchase_shippo_label                             Purchase a shipping label (transaction) using a selected rate.
  get_shippo_transactions                           Retrieve purchased shipping label records (transactions). Each transaction repre
  track_shippo_shipment                             Look up current tracking status and history for a package (one-time query).
  create_shippo_manifest                            Create a manifest (SCAN form / 当日交单清单) — a carrier end-of-day closeout document
  get_shippo_manifests                              Get a single manifest by ID or list all manifests.
  create_shippo_pickup                              Schedule a USPS/DHL Express carrier pickup (预约上门取件).
  create_shippo_refund                              Request a refund/void for a purchased shipping label (退款 / 作废面单 / cancel label).
  get_shippo_refunds                                Get a single refund by ID or list all refunds.
  set_semrush_credentials                           Set or update Semrush API credentials for a user.
  check_semrush_credentials                         Check the status of a user's Semrush API credentials.
  delete_semrush_credentials                        Delete the current accio_id's Semrush API credentials.
  get_domain_organic_keywords                       Get organic search keywords that bring traffic to a domain.
  get_domain_paid_keywords                          Get paid search keywords (Google Ads) for a domain.
  get_domain_overview                               Get comprehensive SEO overview for a domain.
  get_keyword_overview                              Get keyword overview data including volume, CPC, and competition.
  get_domain_ranks_all                              Get domain overview across all regional databases.
  get_domain_rank_history                           Get domain ranking history over time (monthly or daily).
  get_domain_ranks_all_json                         Get domain rankings across all databases in JSON format.
  get_subdomain_overview                            Get subdomain overview with key SEO metrics (one database).
  get_subdomain_ranks_all                           Get subdomain overview across all regional databases.
  get_subdomain_history                             Get subdomain ranking history over time (monthly or daily).
  get_subfolder_overview                            Get subfolder overview with key SEO metrics (one database).
  get_subfolder_ranks_all                           Get subfolder overview across all regional databases.
  get_subfolder_history                             Get subfolder ranking history over time (monthly or daily).
  get_url_overview                                  Get URL overview with key SEO metrics (one database).
  get_url_ranks_all                                 Get URL overview across all regional databases.
  get_url_history                                   Get URL ranking history over time (monthly or daily).
  get_backlinks_overview                            Get backlink overview for a domain or URL.
  get_trends_traffic_summary                        Get traffic summary for multiple domains using Semrush Trends API.
  get_trends_traffic_sources                        Get traffic sources breakdown for domains using Semrush Trends API.
  get_trends_geo_distribution                       Get geographic distribution of traffic for domains using Semrush Trends API.
  set_yuque_credentials                             Set, update, or disconnect Yuque personal access token for the current user.
  check_yuque_credentials                           Check the status of the current user's Yuque credentials.
  delete_yuque_credentials                          Delete the current user's Yuque credentials.
  yuque_get_user                                    Get the current authenticated Yuque user's profile information.
  yuque_list_user_groups                            List all teams/groups that a user belongs to.
  yuque_search                                      Search for documents or knowledge bases in the user's Yuque workspace.
  yuque_list_books                                  List all knowledge bases (repos) owned by a user or group.
  yuque_get_book                                    Get detailed information of a single Yuque knowledge base (repo).
  yuque_create_book                                 Create a new Yuque knowledge base under the given user or group.
  yuque_update_book                                 Update an existing Yuque knowledge base's metadata.
  yuque_list_docs                                   List all documents in a Yuque knowledge base.
  yuque_get_doc                                     Get the full content of a single document in a Yuque knowledge base.
  yuque_create_doc                                  Create a new document in a Yuque knowledge base.
  yuque_update_doc                                  Update an existing document in a Yuque knowledge base.
  yuque_get_toc                                     Get the table of contents (TOC) tree of a Yuque knowledge base.
  yuque_update_toc                                  Update the table of contents of a Yuque knowledge base (add / move / edit / remo
  yuque_delete_doc                                  Delete a document from a Yuque knowledge base.
  yuque_delete_book                                 Delete a Yuque knowledge base (repo) permanently.
  start_cj_auth                                     Start CJ authorization flow.
  get_cj_access_token                               Get the current workspace CJ access token.
  start_square_auth                                 Manually initiate Square POS OAuth authentication flow.
  start_alibaba_com_auth                            Generate an Alibaba second-party authorization login URL.
  exchange_alibaba_connector_token                  Exchange and store Alibaba OAuth access_token from local callback via MCP.
  start_shopline_auth                               Start Shopline authorization for a store.
  get_shopline_access_token                         Get Shopline token metadata only; this does not return the raw access token valu
  get_shopline_access_token_raw                     Get the raw Shopline access token when you explicitly need the token value itsel
  claim_shopline_store                              Claim a pending Shopline store installation to the current workspace.
  start_okki_auth                                   Start Okki OAuth authorization flow (PKCE mode).
  start_visable_auth                                Start Visable OAuth authorization flow (PKCE mode).
  start_figma_auth                                  Start Figma OAuth 2.0 authorization flow with PKCE.
  get_current_user                                  Get the authenticated Figma user's profile and approximate plan level.
  check_user_plan                                   Check the current Figma user's plan level and available feature scopes.
  validate_scope_access                             Validate whether the current Figma credential has a specific OAuth scope.
  read_file_content                                 Read the content and node tree of a Figma file.
  read_file_metadata                                Read metadata of a Figma file without fetching the full node tree.
  read_file_versions                                Read the version history of a Figma file.
  read_file_comments                                Read all comments on a Figma file, including replies, positions, and authors.
  create_comment                                    Create a new comment on a Figma file or a specific node.
  delete_comment                                    Delete a comment from a Figma file.
  read_library_assets                               Read components and styles published from a personal Figma file.
  read_dev_resources                                Read development resources (design tokens, annotations, spacing systems) from a 
  create_dev_resource                               Create a new development resource (design token, annotation, or link) on a Figma
  update_dev_resource                               Update an existing development resource on a Figma file.
  list_figma_team_projects                          List projects within a Figma team.
  list_figma_project_files                          List files within a Figma project.
  delete_dev_resource                               Delete a development resource from a Figma file.
  list_figma_connections                            List all Figma accounts currently connected to this workspace.
  start_huggingface_auth                            Initiate OAuth 2.0 + PKCE authorization with HuggingFace.
  search_huggingface_models                         Search for AI models on HuggingFace Hub.
  get_huggingface_model_info                        Get detailed information about a specific HuggingFace model.
  search_huggingface_datasets                       Search for datasets on HuggingFace Hub.
  search_huggingface_spaces                         Search for Spaces on HuggingFace Hub.
  list_my_huggingface_repos                         List the authenticated user's own repositories on HuggingFace.
  create_huggingface_repo                           Create a new repository on HuggingFace Hub.
  delete_huggingface_repo                           Delete a repository on HuggingFace Hub. This action is irreversible.
  huggingface_chat_inference                        Run chat completion using a model on HuggingFace Inference API.
  huggingface_text_embedding                        Generate text embeddings using a model on HuggingFace Inference API.
  move_huggingface_repo                             Move or rename a repository on HuggingFace Hub.
  update_huggingface_repo_settings                  Update settings for a HuggingFace repository.
  check_huggingface_billing                         Check the authenticated user's HuggingFace billing and subscription status.
  list_huggingface_app_repos                        List repositories on HuggingFace that were created by this OAuth application.
  run_huggingface_job                               Run a Job on HuggingFace infrastructure.
  get_huggingface_job_status                        Get the status of a HuggingFace Job.
  cancel_huggingface_job                            Cancel a running HuggingFace Job.
  list_huggingface_webhooks                         List all webhooks configured on your HuggingFace account.
  create_huggingface_webhook                        Create a new webhook on HuggingFace.
  delete_huggingface_webhook                        Delete a webhook from HuggingFace.
  list_huggingface_discussions                      List discussions and pull requests on a HuggingFace repository.
  create_huggingface_discussion                     Create a new discussion on a HuggingFace repository.
  comment_huggingface_discussion                    Add a comment to an existing discussion or pull request on HuggingFace.
  start_wordpress_auth                              Start the WordPress.com OAuth 2.0 authorization flow.
  check_wordpress_credentials                       Check the status of WordPress.com credentials for the current workspace.
  delete_wordpress_credentials                      Disconnect WordPress.com credentials for the current workspace.
  get_wordpress_me                                  Return the currently authorized WordPress.com user profile.
  list_wordpress_sites                              List all WordPress.com sites the authorized user can access.
  get_wordpress_site                                Get a single WordPress.com site's metadata.
  list_wordpress_posts                              List posts on a WordPress.com site.
  get_wordpress_post                                Fetch a single post (full content + meta).
  create_wordpress_post                             Create a new post on a WordPress.com site.
  update_wordpress_post                             Update an existing post (PATCH-style: only sent fields are changed).
  delete_wordpress_post                             Move a post to trash (or permanently delete if already trashed).
  list_wordpress_pages                              List static pages on a WordPress.com site.
  get_wordpress_page                                Fetch a single page.
  create_wordpress_page                             Create a new static page.
  update_wordpress_page                             Update an existing page (only sent fields are changed).
  delete_wordpress_page                             Move a page to trash (or permanently delete on second call).
  list_wordpress_media                              List media items in a WordPress.com site.
  get_wordpress_media                               Fetch a single media item's metadata (URL, mime, dimensions, EXIF...).
  upload_wordpress_media_from_urls                  Import one or more remote media files into the WordPress.com media library.
  list_wordpress_site_comments                      List comments across an entire WordPress.com site.
  list_wordpress_post_comments                      List comments on a specific WordPress.com post.
  create_wordpress_comment                          Post a new top-level comment on a WordPress.com post (as the authorized user).
  delete_wordpress_comment                          Move a comment to trash (or permanently delete on second call).
  list_wordpress_categories                         List categories on a WordPress.com site.
  get_wordpress_category                            Fetch a single category by slug.
  list_wordpress_tags                               List tags on a WordPress.com site.
  get_wordpress_tag                                 Fetch a single tag by slug.
  get_wordpress_site_stats                          Get a high-level stats snapshot for a WordPress.com site (visitors / views / fol
  get_wordpress_top_posts                           Get top posts / pages by views for a site over a period.
  get_wordpress_visits                              Get visit / view trends for a site (time-series).
  start_microsoft365_auth                           Start Microsoft 365 OAuth 2.0 authorization.
  set_microsoft365_credentials                      Manually register a Microsoft Graph access token.
  search_microsoft365_emails                        Search messages in the authenticated user's Microsoft 365 mailbox.
  get_microsoft365_email_detail                     Fetch a single message by id, including full body and recipients.
  send_microsoft365_email                           Send a new email on behalf of the authenticated Microsoft 365 user.
  reply_microsoft365_email                          Reply to an existing email message.
  forward_microsoft365_email                        Forward an existing email message to new recipients.
  list_microsoft365_email_attachments               List attachments on an email message.
  create_microsoft365_draft                         Create a draft email in the authenticated user's Microsoft 365 mailbox.
  delete_microsoft365_message                       Delete an email message from the authenticated user's Microsoft 365 mailbox.
  download_microsoft365_attachment                  Download the content of an email attachment.
  move_microsoft365_message                         Move an email message to a different folder in the mailbox.
  update_microsoft365_draft                         Update an existing draft email in the mailbox.
  copy_microsoft365_message                         Copy an email message to a different folder in the mailbox.
  list_microsoft365_mail_folders                    List all mail folders in the user's mailbox.
  search_microsoft365_contacts                      Search the authenticated user's Microsoft 365 personal contacts.
  get_microsoft365_contact                          Get details of a specific Microsoft 365 personal contact by ID.
  create_microsoft365_contact                       Create a new contact in the authenticated user's Microsoft 365 personal contacts
  update_microsoft365_contact                       Update an existing contact in Microsoft 365 personal contacts.
  delete_microsoft365_contact                       Delete a contact from Microsoft 365 personal contacts.
  get_microsoft365_user_profile                     Return the connected Microsoft 365 user's profile (verifies credential).
  list_microsoft365_events                          List upcoming calendar events for the authenticated Microsoft 365 user.
  get_microsoft365_event                            Fetch a single calendar event by id.
  create_microsoft365_event                         Create a new calendar event.
  update_microsoft365_event                         Update an existing calendar event (partial update / PATCH).
  delete_microsoft365_event                         Delete a calendar event by id.
  accept_microsoft365_event                         Accept a meeting invitation / calendar event.
  decline_microsoft365_event                        Decline a meeting invitation / calendar event.
  tentatively_accept_microsoft365_event             Tentatively accept a meeting invitation / calendar event.
  list_microsoft365_event_instances                 List instances of a recurring calendar event.
  list_microsoft365_drive_items                     List files and folders in the user's OneDrive.
  search_microsoft365_drive                         Search across the user's OneDrive for files and folders.
  get_microsoft365_drive_item                       Get metadata (name, size, type, timestamps) for a specific OneDrive item.
  upload_microsoft365_drive_file                    Upload a file (up to 250 MB) to OneDrive.
  create_microsoft365_drive_folder                  Create a new folder in OneDrive.
  delete_microsoft365_drive_item                    Delete a file or folder from OneDrive.
  download_microsoft365_drive_file                  Download and return the actual content of a file from OneDrive.
  move_rename_microsoft365_drive_item               Move or rename a file or folder in OneDrive.
  copy_microsoft365_drive_item                      Copy a file or folder to a different location in OneDrive.
  create_microsoft365_sharing_link                  Create a sharing link for a file or folder in OneDrive.
  list_microsoft365_teams                           List the user's joined Microsoft Teams and their channels.
  list_microsoft365_chats                           List the user's 1:1 and group chats in Microsoft Teams.
  send_microsoft365_chat_message                    Send a message to a 1:1 or group chat in Microsoft Teams.
  list_microsoft365_channel_messages                List recent messages in a Microsoft Teams channel.
  send_microsoft365_channel_message                 Post a message to a Microsoft Teams channel.
  list_microsoft365_chat_messages                   List messages in a 1:1 or group chat in Microsoft Teams.
  reply_microsoft365_channel_message                Reply to a specific message in a Microsoft Teams channel.
  get_microsoft365_chat_message_detail              Get detailed information about a specific chat message in Microsoft Teams.
  list_microsoft365_channel_message_replies         List replies to a specific message in a Microsoft Teams channel.
  list_microsoft365_notebooks                       List the user's OneNote notebooks.
  list_microsoft365_sections                        List sections in a specific OneNote notebook.
  list_microsoft365_pages                           List pages in a specific OneNote section.
  get_microsoft365_page_content                     Get the HTML content of a specific OneNote page.
  create_microsoft365_page                          Create a new page in a OneNote section.
  create_microsoft365_notebook                      Create a new OneNote notebook.
  create_microsoft365_section                       Create a new section in a OneNote notebook.
  delete_microsoft365_page                          Delete a OneNote page.
  search_gmail_messages                             Search Gmail messages
  get_gmail_message_content                         Get Gmail message content
  get_gmail_messages_content_batch                  Get Gmail messages content in batch
  get_gmail_attachment_content                      Get Gmail attachment content
  send_gmail_message                                Send Gmail message
  get_gmail_thread_content                          Get Gmail thread content
  get_gmail_threads_content_batch                   Get Gmail threads content in batch
  list_gmail_labels                                 List Gmail labels
  setup_gmail_watch                                 Set up Gmail watch for push notifications.
  stop_gmail_watch                                  Stop Gmail watch and remove stored config.
  get_gmail_watch_status                            Get current Gmail watch config and expiration for the user.
  renew_gmail_watch                                 Renew Gmail watch (extends expiration by ~7 days).
  get_user_profile                                  Get detailed profile information for a user by user ID.
  get_user_by_screen_name                           Fetches a user by screen name (username).
  get_user_by_id                                    Fetches a user by ID.
  get_user_followers                                Retrieves a list of followers for a given user.
  get_user_following                                Retrieves users the given user is following.
  get_user_followers_you_know                       Retrieves a list of common followers (simulated).
  get_user_subscriptions                            Retrieves users the specified user is subscribed to (uses following as proxy).
  post_tweet                                        Post a tweet with optional media (images), reply, and tags.
  delete_tweet                                      Delete a tweet by its ID.
  get_tweet_details                                 Get detailed information about a specific tweet.
  create_poll_tweet                                 Create a tweet with a poll.
  vote_on_poll                                      Vote on a poll (mocked; Twitter API v2 does not support programmatic voting).
  favorite_tweet                                    Favorites (likes) a tweet.
  unfavorite_tweet                                  Unfavorites (unlikes) a tweet.
  bookmark_tweet                                    Adds the tweet to bookmarks.
  delete_bookmark                                   Removes the tweet from bookmarks.
  delete_all_bookmarks                              Deletes all bookmarks (simulated by fetching and removing one by one).
  get_timeline                                      Get tweets from your home timeline (For You).
  get_latest_timeline                               Get tweets from your home timeline (Following).
  search_twitter                                    Search Twitter with a query. product: 'Top' (relevancy) or 'Latest' (recency).
  get_trends                                        Retrieves trending topics on Twitter.
  get_highlights_tweets                             Retrieves highlighted tweets from a user's timeline (simulated via user timeline
  get_user_mentions                                 Get tweets mentioning a specific user.
  create_github_repo                                Create a new GitHub repository, either under the authenticated user
  fork_github_repo                                  Fork an existing GitHub repository to the authenticated user's account.
  list_github_repos                                 List GitHub repositories accessible to the authenticated user,
  star_github_repo                                  Star a GitHub repository as the authenticated user.
  unstar_github_repo                                Unstar a GitHub repository as the authenticated user.
  list_github_starred                               List repositories that the authenticated user has starred.
  list_github_issues                                List GitHub issues (search-backed; cross-repo or scoped).
  list_github_pull_requests                         List GitHub pull requests (search-backed; cross-repo or scoped).
  get_github_issue_content                          Drill into a single GitHub issue: body + metadata + first page of
  get_github_pull_request_content                   Drill into a single GitHub PR: body + merge state + diff stats + first
  create_github_issue                               Create a new GitHub issue in the given repository.
  update_github_issue                               Apply a single mutation to an existing issue, dispatched by ``action``.
  create_github_pull_request                        Open a new pull request.
  update_github_pull_request                        Apply a single mutation to an existing pull request, dispatched by ``action``.
  review_github_pull_request                        Submit a review event or merge a pull request.
  get_linkedin_user_info                            Fetch the LinkedIn OpenID Connect user profile of the currently authorized accou
  share_text_on_linkedin                            Publish a plain-text post to the currently authorized LinkedIn account.
  share_article_on_linkedin                         Share an external article/web link as a LinkedIn post.
  share_image_on_linkedin                           Publish an image post to the currently authorized LinkedIn account.
